content,score,at,userName
"Apalah, gw mau beli peti di toko kagak bisa padahal token gw masih cukup😑",2,2025-02-04 10:05:09,Pengguna Google
"Kualitas fps di dalam permainan sangat buruk,apaan setiap main apa lagi war lansung drop parah fps nya ke 20-10 fps",1,2025-02-04 09:48:40,Pengguna Google
"Gamenya asik gak bikin bosen deh,buruan cobain HOK sekarang juga",5,2025-02-04 09:37:09,Pengguna Google
"Untuk match making sangat tidak adil, kenapa saya selalu dapat tim yang tidak bisa bermain dan tidak mengerti bermain HOK, pdhl rank saya diamond dan hampir master",1,2025-02-04 09:32:59,Pengguna Google
"Perbaiki jaringannya, terutama di pedesaan",3,2025-02-04 09:32:37,Pengguna Google
berat sekali aku tidqk bisa medonlod nya,1,2025-02-04 09:29:55,Pengguna Google
karena menyediakan hero yang kuat dan hero baru,5,2025-02-04 09:17:18,Pengguna Google
good,5,2025-02-04 09:06:53,Pengguna Google
"Tolong perbaiki sistem match making aku terlalu sering bermain dengan player yang suka troll, dan beri hukuman yang keras untuk player trool",4,2025-02-04 09:02:12,Pengguna Google
sangat luar biasa,5,2025-02-04 08:52:50,Pengguna Google
mantap,5,2025-02-04 08:52:03,Pengguna Google
just love it!,5,2025-02-04 08:51:44,Pengguna Google
Game haram,1,2025-02-04 08:45:41,Pengguna Google
saya suka game ini coyy bjir,5,2025-02-04 08:43:29,Pengguna Google
DARI AWAL RILIS SAMPAI SEKARANG TETEP SERU GEMPLAYNYA,5,2025-02-04 08:43:03,Pengguna Google
Saran saya...buatlah sebuah event yang dapat menarik event pemain untuk kembali meramaikan hok...SEMANGAT,5,2025-02-04 08:34:37,Pengguna Google
KEREN BANGETTTT,5,2025-02-04 08:32:57,Pengguna Google
Kerja bagus,5,2025-02-04 08:27:14,Pengguna Google
bagus skli game ini,5,2025-02-04 08:24:36,Pengguna Google
gamenya seruuuuuubanget,5,2025-02-04 08:23:26,Pengguna Google
Gem nya asu,1,2025-02-04 08:23:15,Pengguna Google
karena karakternya unik,5,2025-02-04 08:14:39,Pengguna Google
grafik lebih bagus dan stabil,5,2025-02-04 08:14:01,Pengguna Google
Nice game,1,2025-02-04 08:05:58,Pengguna Google
"Iya gw tau kalo mau sinyal bagus double jaringan,tapi gak ngaruh tetap aja,saat kulihat kecepatan dari hok dan mlbb itu sangat berbeda,mlbb ketika dibuka biasanya sekitar 100 atau rendahnya 36 KB data,ketika di hok 56 atau rendahnya 0,00 KB,pas 0,00 itu puncaknya lag total,ketika saat itu juga login yt atau mlbb,normal aja",1,2025-02-04 08:02:23,Pengguna Google
sorry im back,5,2025-02-04 08:01:57,Pengguna Google
anjayyy,5,2025-02-04 07:59:09,Pengguna Google
"min aku udah nuntasin misi pojok comic tapi kok hadiahnya gak masuk, yg masuk cuma trial Angela gulali",1,2025-02-04 07:56:23,Pengguna Google
Game apaan ini burik banget,1,2025-02-04 07:51:39,Pengguna Google
mantap,5,2025-02-04 07:50:00,Pengguna Google
lebih bagus ml,1,2025-02-04 07:39:01,Pengguna Google
Gamenya seru si tapi dia nya lemot terus jadi tolong di perbaiki,4,2025-02-04 07:34:05,Pengguna Google
Aku suka game ini terutama mode offline nya ada tantangannya 🙏🙏,5,2025-02-04 07:11:50,Pengguna Google
"game apaan ni susah bet naik renk dapat tim drak sistem trus mna kebanyak orang luar ngk Pham ap yg gua omongin,ntah emang bego",1,2025-02-04 07:11:02,Pengguna Google
Aku sukasama game nya seru,4,2025-02-04 07:02:49,Pengguna Google
Best moba,5,2025-02-04 06:55:32,Pengguna Google
Ngasih taem tu yang ngotak dikit lh gaem to loll,1,2025-02-04 06:34:26,Pengguna Google
"Bagusan ini daripada mobile legend, masa kasih tim ga adil banget",5,2025-02-04 06:33:52,Pengguna Google
"Game gak pelit,skin banyak gratis😝",5,2025-02-04 06:25:44,Pengguna Google
"Masya allah, game ini sangat bagus, ya terkadang pas lagi asik² main tu tiba² keluar sendiri gitu loh dan pas itu tuh heri nya sedikit gitu terkadang banyak terkadang enggak. Jadi _tolong_ diperbaiki ya game ini dan seru kalo lagi gabut apa lagi galaw😁 tinggal main honor of kings deh aku juga pernah kalo lagi gabut / galaw, pasti _aku_ main itu semoga diperbaiki ya😁🤝🏻😊",5,2025-02-04 06:22:17,Pengguna Google
game bagus,4,2025-02-04 06:12:42,Pengguna Google
Tolong ya untuk masalah koneksi dibenerin susah bener main padahal sinyal bagus mengecewakan😡😡😡,1,2025-02-04 06:09:56,Pengguna Google
Jelek,1,2025-02-04 06:06:58,Pengguna Google
mantap njiwa,5,2025-02-04 05:55:08,Pengguna Google
aku suk soalnya aku mvp terus,4,2025-02-04 05:41:05,Pengguna Google
MATCH MAKING RUSAK. SUDAH SAYA UNINSTAL. TERNYATA TIDAK LEBIH BAIK DARI MOBA LAIN.,1,2025-02-04 05:30:26,Pengguna Google
Kalok gua gak main 2 3 minggu akaun gua ilang ngulang lagi gua gak mau main game ini lagi,1,2025-02-04 05:16:51,Pengguna Google
bagus,5,2025-02-04 05:06:46,Pengguna Google
keren,5,2025-02-04 05:02:41,Pengguna Google
gem y bagus,5,2025-02-04 04:58:47,Pengguna Google
saya sudah mencoba saran nya dan untung nya berhasil terimakasih developer hok💐💐,5,2025-02-04 04:54:40,Pengguna Google
Penghitungan hasil pertandingan yang tidak adil,4,2025-02-04 04:45:14,Pengguna Google
"dari GM turun ke master IV , kebanyakan dark sistem tau gak,, sekalinya ngisi line yg bener, ada aja yg bego timnya, afk lah, ini Master ke atas Napa dahh,, lose streak sampe 10 kali lebih, menang sekali kalah 3 kali, yg isinya banyakan player bego,. tolong lah di filter , percuma sering report pemain pea kalo di match baru ketemu yg pea lagi, heraan",1,2025-02-04 04:40:00,Pengguna Google
Tolong jaringan di perbaiki dong masa pas main sinyal naik turun padahal buat nonton YouTube dan lain lain lancar please Tencent perbaiki jaringannya,3,2025-02-04 04:39:51,Pengguna Google
matching klu udh tier GM keatas agak dipercepat,5,2025-02-04 04:29:55,Pengguna Google
seru dan menyenangkan,5,2025-02-04 04:24:06,Pengguna Google
game keren,5,2025-02-04 04:23:46,Pengguna Google
bagus,5,2025-02-04 04:14:10,Pengguna Google
Halo gua punya satu keluhan tentang nih game tapi menurut gua semuanya udah bagus tapi ada satu yang bikin gua kesel yaitu pas gua maen rank atau clasic lah itu kadang kadang karakter gua gerak sendiri jir trus ke ulang ulang dan gua Harus ngerestart game nya nah itu juga kadang kadang gua relog eh game nya udah selesai tolong saran nya dlev tapi overall semua udah bagus nanti kalo dapet saran gua kasih b5 ok thanks min,4,2025-02-04 04:14:00,Pengguna Google
mantap kali,5,2025-02-04 04:11:45,Pengguna Google
"Game ini sangat menarik dan sulit enak di mainkan dan seru, tapi aku sangat kecewa karena aku sering menemukan player HOK dari china, yang sangat toxic dan bahkan mencuri buf milikku, setelah itu ia feed, dan langsung melempar kesalahannya kepadaku, aku bermain di jungle dan sering kali kala level karena buff di curi dan juga feed, bahkan aku menemukan player Fraud 4× di game yang berbeda dan player beda"" aku merasa hukuman yang di berikan tidak sesuai, dan itu merugikan, player pejuang solo,😧",1,2025-02-04 04:07:10,Pengguna Google
"Dalam game tiba-tiba ngelag, saya kira karena jaringan, coba main offline tetep sama",1,2025-02-04 04:02:46,Pengguna Google
kerenn game nya,5,2025-02-04 03:52:55,Pengguna Google
"game nya rame tapi, yah kolo gk ada teman bingung, tapi emang rekomendasi lah buat mabar gk rugi main game ini kolo buat mabar",5,2025-02-04 03:35:26,Pengguna Google
Bagus tapi plagiat MLBB bagus tapi aneh map kegedean kaya ff tapi bagusan MLBB yang baik dan bagus,4,2025-02-04 03:30:08,Pengguna Google
"saya kasih bintang 4 dulu ya, next update tolong dong skin epic nya diganti namanya atau enggak kasih efek di gambar nya, soalnya skin epic klo gaada efek gerak di gambar nya kayak skin biasa 🙏🏻🙏🏻",4,2025-02-04 03:26:46,Pengguna Google
gim bnyk dark sistem gess,1,2025-02-04 03:21:31,Pengguna Google
Matchmaking ampas.,1,2025-02-04 03:21:23,Pengguna Google
"Perbaiki bug KELUAR DARI GAME ketika lag/war match, dan sebagian besar recource bisa diHAPUS biar memorinya disisain.",3,2025-02-04 03:20:49,Pengguna Google
tambahin fitur give coin buat temen min. temenku miskin ga ada coin,4,2025-02-04 03:12:58,Pengguna Google
Too many stealing role,2,2025-02-04 03:12:27,Pengguna Google
Good game,5,2025-02-04 03:07:35,Pengguna Google
matchmaking busuk,1,2025-02-04 03:00:53,Pengguna Google
APALAH GAME INI UDAH NGIKUTIN GAYA ML MANA GAME NYA NGELEK APALAH,1,2025-02-04 02:58:57,Pengguna Google
"game sngat bagus, ekosistem stabil, system sangat bagus",5,2025-02-04 02:32:39,Pengguna Google
ok mantap,4,2025-02-04 02:23:14,Pengguna Google
Gem nyaseru tapi barusekali main musuhnya udah jago gemya seru baet Mainff dimarahin mainml dimarahinjuga tapimain inin gak dimarahin,5,2025-02-04 02:23:04,Pengguna Google
"Gua udah main selama setengah tahun lebih dan 2 kali ke GM (Mythic kalo di ML). Gua ngerasa jomplang bgt matchmakingnya karena mau ke GM aja susah banget, menang kalah melulu. Ternyata bukan matchmakingnya yg jomplang tapi Gameplay gua yg bekas game sebelah masih terbawa kesini. Sebenarnya matchmakingnya itu lumayan adil dan sekarang sudah 0% bot, gak kayak awal2. Tips buat yg ranked jgn sampe lu maksa kayak main ML yg bisa 1vs5, main aman barulah midgame sering join war dan jgn lupa push Turret",5,2025-02-04 02:20:34,Pengguna Google
bgus,5,2025-02-04 02:14:44,Pengguna Google
Bagus tapi tolong game nya di ringan kan lagi,4,2025-02-04 02:05:25,Pengguna Google
game udah bagus cuma kadang jaringan sinyal hilang... grafik bagus... mohon untuk dubbing suara ada bahasa Jepang.. sekedar masukkan saja.. terus maju tingkatkan inovasi,5,2025-02-04 01:55:56,Pengguna Google
keren,5,2025-02-04 01:51:19,Pengguna Google
masih penyesuaian,3,2025-02-04 01:50:34,Pengguna Google
asik banget,5,2025-02-04 01:49:15,Pengguna Google
Gacor kang,5,2025-02-04 01:40:32,Pengguna Google
bagus banget,5,2025-02-04 01:12:10,Pengguna Google
bagus,5,2025-02-04 01:09:28,Pengguna Google
makasi,5,2025-02-04 01:03:09,Pengguna Google
"Kenapa kalo jaringan menghubungkan ulang langsung keluar game dan ga bisa lanjut main ? Kacauuuuu aneh banget, padahal jaringan lancar",2,2025-02-04 01:01:07,Pengguna Google
sangat enak untuk di mainkan,5,2025-02-04 00:33:35,Pengguna Google
keren,5,2025-02-04 00:31:28,Pengguna Google
"Saran: improve AI nya biar jadi lebih pintar, setidaknya saat ada yg AFK tidak terlalu membuat sakit kepala",3,2025-02-04 00:21:36,Pengguna Google
"Game aneh giliran tim musuh jago tim sendiri kek bot aneh banget nih game sama aja kek game sebelah machtmakingnya cacad cacad , minimal kalo ngasih tim yg sepadan sama tim",5,2025-02-04 00:13:28,Pengguna Google
"Game ini sangat bagus, hero nya banyak dan mekanik nya unik. Untuk full size 4gb menurut saya normal. Secara gameplay menyenangkan",5,2025-02-04 00:00:26,Pengguna Google
game ini bagus banget,5,2025-02-03 23:38:11,Pengguna Google
Game ini locin,3,2025-02-03 23:29:28,Pengguna Google
hahaha kasian game ini jadi ke 12,5,2025-02-03 23:20:36,Pengguna Google
aku harap ada perkembangan,5,2025-02-03 22:54:41,Pengguna Google
mantap,5,2025-02-03 22:25:16,Pengguna Google
"Halahhh bohong banget ga ada dark sistem! Algoritma match nyaa lebih ga ngotak nih game, masa iyaa menang kalah menang kalah bisa ampe 10 kali lebih. Mikir lah kasian pemain",1,2025-02-03 22:23:23,Pengguna Google
sangat seru,5,2025-02-03 22:03:51,Pengguna Google
aku rindu main. game ini,5,2025-02-03 22:02:59,Pengguna Google
Ngasih team tuh bner makasih,1,2025-02-03 20:31:12,Pengguna Google
Asik jga anjay,5,2025-02-03 20:03:26,Pengguna Google
Game Apaan ini Gua Ram 4 msih kurang di Mobille legends aja bisa dah itu bnyk musuh damage terlalu tinggi Chet bnyak seimbang kan game perlawanan paket internet banyak bisa bisa jaringan hilang game Rusak Masih baru aja dah kecewa merugikan kan orng internet abiss kirain seru ternyata tidak seru data terlalu banyak kondisi kan itu game rusak,1,2025-02-03 19:53:17,Pengguna Google
Menarik,5,2025-02-03 19:51:11,Pengguna Google
Skin nya keren gak kayak sebelah,5,2025-02-03 19:17:44,Pengguna Google
oke,5,2025-02-03 19:15:43,Pengguna Google
ok,5,2025-02-03 19:09:49,Pengguna Google
Sinyal bagus tapi patah2,5,2025-02-03 19:03:27,Pengguna Google
"Hokmok, orang menyimpang malah diundang buat ngisi suara, padahal udah pernah ngatain Hok",5,2025-02-03 18:40:28,Pengguna Google
nice,5,2025-02-03 18:36:48,Pengguna Google
Gua kasih bintang dua aja dlu coba laah ada fitur chat orang lain itu sebelum add sama sesudah game males bet main kek gitu,2,2025-02-03 18:20:39,Pengguna Google
Bagus gamenya terimakasih hok,5,2025-02-03 18:18:20,Pengguna Google
"Lama"" maen HOK malah gak dpt senengnya, sistem matchmaking'nya parah di kasih tim bot Mulu Gmna player mau nyaman kalo kaya gini",1,2025-02-03 18:16:19,Pengguna Google
Tolong di rank team jangan ada bot. Klau lawan bot oke lah. Masa 2x team bot terus. Main ngasal. Jangan di kotori dengan bot untuk team. Tolong developer,5,2025-02-03 18:11:57,Pengguna Google
"Gua bakalan Bintang 5 kalo slot banned ada 8, kalo cuma 2 ga balance Cok. Pantes temen gw uninstall ini.",1,2025-02-03 18:08:01,Pengguna Google
game nya bagus sekali,5,2025-02-03 18:07:17,Pengguna Google
mantap,5,2025-02-03 18:04:40,Pengguna Google
Sial di kasih kalah terus,1,2025-02-03 18:00:30,Pengguna Google
"Matching nya udah gak sehat, musuh bintang 30-100, di team sendiri malah ada master. Sip Disuruh party? Dikira game mole yang banyak temen gue pada main. Dari awal sampe sekarang tidak ada pembenahan",1,2025-02-03 17:43:19,Pengguna Google
keren,5,2025-02-03 17:33:02,Pengguna Google
Puas banget ama skin ni game,5,2025-02-03 17:14:28,Pengguna Google
gk ada lawan,5,2025-02-03 17:10:50,Pengguna Google
ok,5,2025-02-03 17:10:11,Pengguna Google
banyak bug,1,2025-02-03 17:08:57,Pengguna Google
"Masalah game moba kayaknya banyak mirip nya deh contohnya ping aneh (hijau langsung merah atau hijau tapi jalan di tempat tapi khusus di sini kalau main dan mengalami masalah ping akan maju mundur sediri heronya walau pun di gerakin maju/mungkin adalah cara menciptakan dark sistem), tim kadang kadang kagak seimbang ada yang jago banget (kebanyakan musuh) ada yang coba2 hero (malah dirank) ada yang ngetroll dan ada pula yang gobloknya alami. Saya mencoba mendiagnosis jaringan saya tapi gagal.",1,2025-02-03 16:58:07,Pengguna Google
"Game,yg sangat bagus keren banget",5,2025-02-03 16:45:06,Pengguna Google
gamenya bgus keren nikmat lagi,5,2025-02-03 16:39:14,Pengguna Google
game nya seru,5,2025-02-03 16:31:54,Pengguna Google
mantap,5,2025-02-03 16:26:24,Pengguna Google
"Sementara kasih bintang 3 dulu, karena main di rank masih Gold aja musuhnya kayak lebih jago dan ga sesuai di rank kita. Baru menit awal pas musuh nyerang kita, darahnya kaya tebal banget susah buat nyeimbangin. Dan terakhir ko pas pencet skill nya (all hero) kaya ada delaynya? Apa itu di saya aja? Tolong dong developer nya untuk perbaiki masalah pencocokan rank dan delay tersebut. Segitu saja atas keluhan selama main dalam beberapa minggu lalu.",3,2025-02-03 16:22:01,Pengguna Google
"Pembagian tim/matchmacing terlalu BURUK selalu di satukan dengan pemain yang tidak paham bermain, yg anehnya secara terus menerus sehingga mengakibatkan kekalahan beruntun, tidak ada kata kemenangan. 40 match 1 menang 6 kalah 2 menang 7 kalah 1 menang 5 kalah. untuk sistem sangat buruk. mungkin sudah cukup waktunya saya uninstall.",1,2025-02-03 16:11:35,Pengguna Google
mau nyoba,3,2025-02-03 16:08:39,Pengguna Google
keren,5,2025-02-03 16:04:48,Pengguna Google
"fiturnya bagus,ga bikin bosen.rekomend bngt deh",5,2025-02-03 16:03:04,Pengguna Google
Bagus bangt gamenya sangat rekomen,5,2025-02-03 15:59:12,Pengguna Google
"bagus sih lumayan bikin pikiran ga stres stres amat kalau menang, dan di hp ku cukup ringan game nya👍",5,2025-02-03 15:56:46,Pengguna Google
Kmaren saya sempet main game ini. Tapi ada ketidak puasan sama game ini. Salah satunya ketika war. Padahal level Hero lebih tinggi dan smua ULTI siap. Tetep masih kalah ketika 1 vs 2. Apa level Hero ga ngaruh. Coba perbaiki. Dan jg grafiknya. Terimakasih ketika itu udah ada perubahan. Mungkin saya akan main kembali. Dan satu lagi game ini terlalu berat.,2,2025-02-03 15:48:57,Pengguna Google
Dari segi grafik dll smuanya udh bagus yg banyak player keluhkan cuma di pencarian match nya ga imbang.tolong dong sesuaikan sama skill yg tau cara main,4,2025-02-03 15:43:04,Pengguna Google
mantap,5,2025-02-03 15:35:45,Pengguna Google
"Makin hari makin ga jelas nih game, dari kemaren dapet team dark sistem mulu, menang sekali kalah berkali kali, pokoknya ini game terburuk yang gua mainin, mending maen game sebelah dah",1,2025-02-03 15:33:10,Pengguna Google
"Game Baik, Gacha Flawless Skin selalu Hoki. GG Tencent",5,2025-02-03 15:31:50,Pengguna Google
Tolong matchmaking rank nya di benerin hehe,1,2025-02-03 15:21:06,Pengguna Google
bagus game nya,5,2025-02-03 15:20:44,Pengguna Google
game ramah lingkungan,5,2025-02-03 15:16:39,Pengguna Google
siip,5,2025-02-03 15:13:37,Pengguna Google
oke,5,2025-02-03 15:09:28,Pengguna Google
"Tolong min, tambahin fitur atur storage, biar player hp ram 2 bisa main ga harus download full data biar heronya ga T-Pose",5,2025-02-03 15:06:10,Pengguna Google
ok,5,2025-02-03 15:02:41,Pengguna Google
seru game nya,5,2025-02-03 14:59:24,Pengguna Google
baguss,5,2025-02-03 14:58:28,Pengguna Google
This is the worst moba game ever,1,2025-02-03 14:57:21,Pengguna Google
minta skin lama mitick sama lagend,5,2025-02-03 14:56:55,Pengguna Google
bagus,4,2025-02-03 14:55:49,Pengguna Google
game nya bagus,5,2025-02-03 14:54:38,Pengguna Google
mantap,5,2025-02-03 14:49:59,Pengguna Google
"tentu saja, konsep heronya unik",5,2025-02-03 14:46:01,Pengguna Google
Bintang lima karna gamenya full fan service,5,2025-02-03 14:40:52,Pengguna Google
oke,5,2025-02-03 14:37:41,Pengguna Google
Matching GK Sesuai Musuh Pada Epic Di Tim Cuman Sendirian Yg Epic Sisanya Pada GM Mana Ada Juga Lagi Yg Masih Master...GK ada Sportifitas Nya Dalam Matching Game,1,2025-02-03 14:36:11,Pengguna Google
keren,5,2025-02-03 14:35:29,Pengguna Google
Game.suda.bagus..,4,2025-02-03 14:32:04,Pengguna Google
bagus,5,2025-02-03 14:24:02,Pengguna Google
keren,5,2025-02-03 14:21:44,Pengguna Google
lebih bagus dari mobile legend,5,2025-02-03 14:17:19,Pengguna Google
"masih ada banyak bug, beberapa bug nya adalah delay, analog tiba tiba berhenti jalan padahal jaringan ijo, suka frame tiba tiba dan lain sebagainya, itu membuat pengalaman bermain menjadi kurang nyaman, tolong segera di fix",2,2025-02-03 14:16:02,Pengguna Google
Masih nyoba Aku download karena hapus mll,3,2025-02-03 14:15:41,Pengguna Google
"Setelah gw coba ternyata update sistem hp aku yang bikin lag,kemarin lancar ultra bisa sekarang medium aja slow respon. Coba aja di kasih hp yang bagus gitu auto jadi youtuber guwa",5,2025-02-03 14:10:25,Pengguna Google
"Game sistem scame , perubahan elit tapi matchmaking sulit yg cheat kgk di ban malah dibiarin malah disamain kek ML makin ga jelas game lu",1,2025-02-03 14:10:01,Pengguna Google
"game udah bagus, skin mewah, harga murah tapi masalahnya HP gw lag terus apalagi kalau udah main, behh bunyi² HP gw🗿 (maklum HP murah + ram 3)",4,2025-02-03 14:07:33,Pengguna Google
Tolong jangan cuman updt nya doang tapi optimalisasi lagi gameplay nya makin berat parah ini,3,2025-02-03 14:04:26,Pengguna Google
Game nya bagus,5,2025-02-03 14:02:46,Pengguna Google
bagus gane,2,2025-02-03 13:53:08,Pengguna Google
Halo pihak hok kenapa tiap saya main pasti lag,2,2025-02-03 13:47:10,Pengguna Google
"UNTUK TEAM MATCH TIDAK BERBEDA DENGAN GAME SEBELAH, AKU SELALU DI PERTEMUKAN DENGAN CINA PLAYER YG SANGAT TOLOL, PADAHAL RANK KU SUDAH TERGOLONG TINGGI TETAPI TEAMKU SELALU JELEK DAN AKU SELALU MENDAPATKAN MUSUH YG KOMPAK DAN BISA BERMAIN SESUAI TIER NYA, TETAPI TEAMKU TIDAK.",1,2025-02-03 13:42:22,Pengguna Google
Game nya bagus,5,2025-02-03 13:40:07,Pengguna Google
mantap,5,2025-02-03 13:36:00,Pengguna Google
yatta,5,2025-02-03 13:32:31,Pengguna Google
Sangat bagus gamenya sangat menarik,5,2025-02-03 13:30:21,Pengguna Google
game nya bagus,5,2025-02-03 13:28:55,Pengguna Google
mantap,5,2025-02-03 13:25:23,Pengguna Google
sekelas hp mahal game ini patah²,1,2025-02-03 13:25:22,Pengguna Google
lebih menarik ....banyak hero gratisan,5,2025-02-03 13:22:40,Pengguna Google
Lol mh ny ap hl btr hh lc pd n bg monton,1,2025-02-03 13:21:03,Pengguna Google
Bagus tapi nguras kuota banget 🥲,3,2025-02-03 13:16:05,Pengguna Google
enak banget cuy tapi masih ga paham cara dapat skin yang bagus dan free jadi kalo bisa di kasih fitur petunjuk buat nunjukin cara dapat skin free 🙏🙏,5,2025-02-03 13:12:40,Pengguna Google
Banyak bot feeder,1,2025-02-03 13:11:51,Pengguna Google
woiiiii bisa ga sii download datanya yg dimiliki aja ini malah semuanya suruh di download 😡🤬,5,2025-02-03 13:09:52,Pengguna Google
Hero banyak mirip mlbb BEDAIN napa,1,2025-02-03 13:07:41,Pengguna Google
Mantap game nya tolong bersihkan chiternya,5,2025-02-03 12:57:23,Pengguna Google
lebih weruh dari ML,5,2025-02-03 12:55:08,Pengguna Google
👍🏻,5,2025-02-03 12:54:11,Pengguna Google
Bagus sih,5,2025-02-03 12:53:01,Pengguna Google
perbanyak hero2 barunya.biar ga kalah sama game sebelah,5,2025-02-03 12:51:17,Pengguna Google
"tombol targetnya gajelas, benerin lah coy",1,2025-02-03 12:46:41,Pengguna Google
"Terlalu banyak player toxi hukumannya terlalu ringan, kalau mau majun mending hukuman itu berat, jd player juga tidak rugi yg bermain baik,",1,2025-02-03 12:45:01,Pengguna Google
"Sebaiknya jangan main hok banyak bug nya bikin males rating dari ku 4,6%👎🏻",1,2025-02-03 12:44:12,Pengguna Google
sangat bagus,5,2025-02-03 12:37:59,Pengguna Google
Moba terbaik dari yg terbaik,5,2025-02-03 12:37:50,Pengguna Google
baguss,5,2025-02-03 12:36:23,Pengguna Google
Hok game terbaik,5,2025-02-03 12:33:21,Pengguna Google
"Nih game apaan sih!, suka dikasih tim kagak becus kalau main, sedangkan musuhnya jago², dan event²nya menarik menarik juga, tapi kalau musuhnya terlalu jago jadi lostreak donk!?!, dan juga jaringan guwa itu tuh pihak hok, dibenerin lagi, ping guwa ga stabil terus! Padahal jaringan bagus!, sekian menurutku lebih bagus game sebelah aja, grafik dllnya lebih bagusan game sebelah menurutku, payah nih game!!! -_- :((",1,2025-02-03 12:32:28,Pengguna Google
Wow👍👍,5,2025-02-03 12:30:21,Pengguna Google
Gemko ikut ikutan ml botttt bottttttt reting 1 bottttttttt,1,2025-02-03 12:25:38,Pengguna Google
lebih bagus dari game sebelah,5,2025-02-03 12:25:20,Pengguna Google
Jelek si menurut ku,1,2025-02-03 12:22:11,Pengguna Google
Keren,5,2025-02-03 12:20:51,Pengguna Google
Input delay gua maen game lain aman aman aja,2,2025-02-03 12:16:15,Pengguna Google
"Saran Aja Buat HOK Nama China Harusnya Lebih Sedikit Sih. Harusnya Server Global Nama Nya Lebih Seperti Nama EUROPE/Amerika, Soalnya Nama China Lumayan Susah Di Hafal🙏 (KALO BISA NAMA NYA DI UBAH DI GLOBAL SERVER JANGAN PAKE CHINESSE NAME🙏) Percuma juga kan cape2 iklan tapi orang banyak yang tetap malas download karena terlalu banyak chinesse name.",1,2025-02-03 12:13:37,Pengguna Google
bgus,5,2025-02-03 12:10:16,Pengguna Google
"MOBA KEBANYAKAN BOT AI, DI TIM MAUPUN DI LAWAN.......SISTEM REPORT AMPAS BUAT AFK/FEEDER/TROLL PLAYER",1,2025-02-03 12:07:29,Pengguna Google
Sangat bagus,5,2025-02-03 12:06:46,Pengguna Google
Game yang bagus ga kek game sebelah... aku berharap game ini bisa mengalahkan game sebelah,5,2025-02-03 11:59:59,Pengguna Google
Ok,5,2025-02-03 11:58:11,Pengguna Google
"Bagus banget dari segi macth, skin, pemilihan lawan setara semua enak banget memanjakan mata dan hati player xixixixixi",5,2025-02-03 11:56:44,Pengguna Google
"Kasih saran dong min ko quick chatnya ga ada suaranya ya,aku baru download soalnya belom tau semua Pas nyoba yg hansen ama yg laen pdhl udah ful data trus animasi lobynya juga ga gerak udah nyoba setingan grafis tinggi semua tapi tetep aja ga bisa,plis jawab min😿",3,2025-02-03 11:50:54,Pengguna Google
Udah selesai,5,2025-02-03 11:50:45,Pengguna Google
wong saya suka kok,5,2025-02-03 11:45:36,Pengguna Google
matchmakingnya bagusin dlu,1,2025-02-03 11:44:22,Pengguna Google
game nya bagus gak kayak sebelah 😁👍,1,2025-02-03 11:40:10,Pengguna Google
Good game!!,5,2025-02-03 11:34:40,Pengguna Google
Mantap mantap mantaaaaaaaap.,5,2025-02-03 11:33:55,Pengguna Google
bagussss bangettt seruuuuu!!!!!!,5,2025-02-03 11:32:42,Pengguna Google
"Gamenya bagus, eventnya banyak yg menarik, Mapnya tiap event ganti"". kekurangannya susah ws 😁",5,2025-02-03 11:25:56,Pengguna Google
kasih tim yang bener dikit lah Tencent bikin kesel doang,5,2025-02-03 11:22:09,Pengguna Google
ok bagett,4,2025-02-03 11:21:44,Pengguna Google
Min Honor Of Kings indonesia kenapa tempat beli item di game menjadi tembus seperti itu ? Apakah ini update baru server global? Semoga di jawab ya 🙏,5,2025-02-03 11:15:26,Pengguna Google
"Game nya udah bagus, tapi soal musuh imbangi dong masa kadang musuhnya lebih ok damage nya padahal baru menit-menit pertama",5,2025-02-03 11:14:24,Pengguna Google
Best quality bikin skin ga pernah rugi kalo top up,5,2025-02-03 11:12:04,Pengguna Google
"Game nya bagus, tapi saya baru download beberapa hari ruang penyimpanan hp saya sudah berkurang 10 GB, jadi tolong yaa untuk mengurangi penggunaan ruang penyimpanan",3,2025-02-03 11:11:19,Pengguna Google
Ngelag,2,2025-02-03 11:10:21,Pengguna Google
"Problem nya simpel sih, tim kocak, musuh gacor.",5,2025-02-03 11:03:54,Pengguna Google
Gamenya bagus cmn agak plagiat sama MLBB ya..Gpp kok aku tetap sukaa!,4,2025-02-03 10:52:12,Pengguna Google
Bagus sih tapi sayang hp ku udah gak kuat,5,2025-02-03 10:50:46,Pengguna Google
gamenya tidak ngelak,5,2025-02-03 10:45:57,Pengguna Google
"game nya sangat bagus, apalagi grafik,nya dan berhak dikasih bintang 5",5,2025-02-03 10:40:20,Pengguna Google
kenapa ngk qda untuk bywan,5,2025-02-03 10:40:05,Pengguna Google
bagus,5,2025-02-03 10:33:52,Pengguna Google
Sudah bisa update terimakasih,5,2025-02-03 10:27:59,Pengguna Google
Ubur² ikan lele gak bisa di dowload leeee😭,3,2025-02-03 10:15:37,Pengguna Google
tingkatkan,5,2025-02-03 10:14:10,Pengguna Google
gem ini keren,5,2025-02-03 10:11:52,Pengguna Google
這遊戲比手機傳奇好玩,5,2025-02-03 10:09:06,Pengguna Google
"doesn't good field to play and killing time, cheaters",1,2025-02-03 09:56:36,Pengguna Google
Game baik gak kek sebelah :V,5,2025-02-03 09:56:24,Pengguna Google
